Region,Target,Model,RMSE,MAE,sMAPE (%),R2,PICP@90 (%),Interval Width (MW)
US,Load,GBM,183.37,140.64,0.18,0.9993,82.6,1986.8
US,Load,LSTM,671.68,529.91,3.42,0.843,not_applicable,not_applicable
US,Load,TCN,595.03,463.63,2.60,0.8909,not_applicable,not_applicable
US,Load,N-BEATS,367.61,292.39,1.68,0.9353,not_applicable,not_applicable
US,Load,TFT,377.6,295.84,1.93,0.9491,not_applicable,not_applicable
US,Load,PatchTST,346.87,274.14,1.68,0.9525,not_applicable,not_applicable
US,Wind,GBM,357.1,210.72,2.65,0.9972,40.6,324.9
US,Wind,LSTM,1497.2,1168.11,180.11,0.8592,not_applicable,not_applicable
US,Wind,TCN,1171.01,911.77,117.98,0.9053,not_applicable,not_applicable
US,Wind,N-BEATS,719.39,563.04,80.58,0.9306,not_applicable,not_applicable
US,Wind,TFT,681.02,533.65,81.35,0.9432,not_applicable,not_applicable
US,Wind,PatchTST,696.54,548.76,98.79,0.9547,not_applicable,not_applicable
US,Solar,GBM,229.99,82.14,53.09,0.9947,86.5,687.0
US,Solar,LSTM,868.66,690.98,151.85,0.8674,not_applicable,not_applicable
US,Solar,TCN,686.62,545.80,113.95,0.8874,not_applicable,not_applicable
US,Solar,N-BEATS,467.19,368.50,76.08,0.9417,not_applicable,not_applicable
US,Solar,TFT,450.73,351.39,103.59,0.9433,not_applicable,not_applicable
US,Solar,PatchTST,414.86,323.10,88.50,0.9514,not_applicable,not_applicable
