run_id,timestamp_utc,row_type,window_idx,window_start,window_end,horizon,evpi,evpi_robust,evpi_deterministic,vss,robust_actual_realized_cost,robust_perfect_info_cost,deterministic_actual_realized_cost,deterministic_perfect_info_cost,robust_total_cost,robust_feasible,solver_status,mean_dynamic_interval_width,mean_base_interval_width,mean_stressed_interval_width,operational_grid_cap_mw,reserve_soc_mwh,terminal_soc_target_mwh,load_stress_additive_mw,stress_interval_multiplier,faci_scale_bound_lower,faci_scale_bound_upper,unmet_load_penalty_per_mwh
20260216_092413,2026-02-16T09:24:29.483002,window,0.0,24.0,48.0,24.0,0.0,0.0,0.0,-29700.0,64076805.0,64076805.0,64047105.0,64047105.0,58855327.76279253,True,ok:optimal,713.4513867376809,415.6027495559292,,,,,,,,,10000.0
20260216_092413,2026-02-16T09:24:29.483002,window,1.0,48.0,72.0,24.0,0.0,0.0,0.0,-29700.0,59548750.0,59548750.0,59519050.0,59519050.0,64835397.274099424,True,ok:optimal,1298.758592362273,415.6027495559292,,,,,,,,,10000.0
20260216_092413,2026-02-16T09:24:29.483002,window,2.0,72.0,96.0,24.0,0.0,0.0,0.0,-29700.0,67755220.0,67755220.0,67725520.0,67725520.0,60470919.023285,True,ok:optimal,1506.5599671402351,415.6027495559292,,,,,,,,,10000.0
20260216_092413,2026-02-16T09:24:29.483002,window,3.0,96.0,120.0,24.0,0.0,0.0,0.0,-29700.0,57126765.0,57126765.0,57097065.0,57097065.0,66773541.57208405,True,ok:optimal,1316.0753735937724,415.60274955592894,,,,,,,,,10000.0
20260216_092413,2026-02-16T09:24:29.483002,window,4.0,120.0,144.0,24.0,0.0,0.0,0.0,-27000.0,60027010.0,60027010.0,60000010.0,60000010.0,54393027.14525224,True,ok:optimal,2441.6661536410807,415.6027495559302,,,,,,,,,10000.0
20260216_092413,2026-02-16T09:24:29.483002,window,5.0,144.0,168.0,24.0,0.0,0.0,0.0,-27000.0,49372540.0,49372540.0,49345540.0,49345540.0,62871202.998743266,True,ok:optimal,1904.8459354646973,415.6027495559347,,,,,,,,,10000.0
20260216_092413,2026-02-16T09:24:29.483002,window,6.0,168.0,192.0,24.0,0.0,0.0,0.0,-29700.0,60211165.0,60211165.0,60181465.0,60181465.0,54956637.25785908,True,ok:optimal,2665.052631527426,415.6027495559356,,,,,,,,,10000.0
20260216_092413,2026-02-16T09:24:29.483002,window,7.0,192.0,216.0,24.0,0.0,0.0,0.0,-29700.0,61345625.0,61345625.0,61315925.0,61315925.0,60882767.88262746,True,ok:optimal,969.73974896383,415.6027495559283,,,,,,,,,10000.0
20260216_092413,2026-02-16T09:24:29.483002,window,8.0,216.0,240.0,24.0,0.0,0.0,0.0,-29700.0,57819770.0,57819770.0,57790070.0,57790070.0,62456241.78175544,True,ok:optimal,1818.2620293071775,415.60274955592894,,,,,,,,,10000.0
20260216_092413,2026-02-16T09:24:29.483002,window,9.0,240.0,264.0,24.0,0.0,0.0,0.0,-29700.0,58933870.0,58933870.0,58904170.0,58904170.0,59185289.9548223,True,ok:optimal,2164.5976539371227,415.6027495559295,,,,,,,,,10000.0
20260216_092413,2026-02-16T09:24:29.483002,window,10.0,264.0,288.0,24.0,0.0,0.0,0.0,-29700.0,55252575.0,55252575.0,55222875.0,55222875.0,58502726.959873214,True,ok:optimal,1748.9949043811864,415.6027495559283,,,,,,,,,10000.0
20260216_092413,2026-02-16T09:24:29.483002,window,11.0,288.0,312.0,24.0,0.0,0.0,0.0,-27000.0,60587510.0,60587510.0,60560510.0,60560510.0,52698973.31331484,True,ok:optimal,2535.176772291157,415.6027495559295,,,,,,,,,10000.0
20260216_092413,2026-02-16T09:24:29.483002,window,12.0,312.0,336.0,24.0,0.0,0.0,0.0,-27000.0,50815365.0,50815365.0,50788365.0,50788365.0,63068406.74438056,True,ok:optimal,1368.025717288269,415.6027495559313,,,,,,,,,10000.0
20260216_092413,2026-02-16T09:24:29.483002,window,13.0,336.0,360.0,24.0,0.0,0.0,0.0,-29700.0,70812630.0,70812630.0,70782930.0,70782930.0,56223848.57708835,True,ok:optimal,2665.052631527388,415.6027495559302,,,,,,,,,10000.0
20260216_092413,2026-02-16T09:24:29.483002,window,14.0,360.0,384.0,24.0,0.0,0.0,0.0,-29700.0,64098575.0,64098575.0,64068875.0,64068875.0,72156787.8103466,True,ok:optimal,2181.9144351686036,415.6027495559247,,,,,,,,,10000.0
20260216_092413,2026-02-16T09:24:29.483002,window,15.0,384.0,408.0,24.0,0.0,0.0,0.0,-29700.0,61218745.0,61218745.0,61189045.0,61189045.0,65746834.64020756,True,ok:optimal,2656.394240911622,415.6027495559247,,,,,,,,,10000.0
