target,horizon_label,split,base_coverage,base_mean_width,widened_coverage,widened_mean_width,mean_widening_factor
ego_speed_mps,1s,val,0.9392523364485982,2.6618257109634604,0.9626168224299065,3.322977788740391,1.2359972376181108
ego_speed_mps,1s,test,0.9254385964912281,2.5637677600942093,0.9736842105263158,3.1548016770383445,1.2195895635682084
ego_speed_mps,2s,val,0.9252336448598131,4.5486562683030565,0.9719626168224299,5.675890112509198,1.2359972376181108
ego_speed_mps,2s,test,0.9254385964912281,4.354514773399132,0.9692982456140351,5.343084206348023,1.2195895635682084
ego_speed_mps,4s,val,0.9065420560747663,8.461552261519444,0.9532710280373832,10.539546254145003,1.2359972376181108
ego_speed_mps,4s,test,0.8991228070175439,8.165968987827453,0.9517543859649122,10.023395925118528,1.2195895635682084
relative_gap_m,1s,val,0.8691588785046729,88.5502880553153,0.9485981308411215,108.40596370473779,1.2359972376181108
relative_gap_m,1s,test,0.9122807017543859,88.82658438163044,0.9780701754385965,107.48868915029692,1.2195895635682084
relative_gap_m,2s,val,0.897196261682243,95.72594157954347,0.9672897196261683,117.55687853993048,1.2359972376181108
relative_gap_m,2s,test,0.9166666666666666,95.82259086302751,0.9605263157894737,116.24720886864264,1.2195895635682084
relative_gap_m,4s,val,0.883177570093458,94.69496467008928,0.9719626168224299,116.06252236806367,1.2359972376181108
relative_gap_m,4s,test,0.881578947368421,95.68197600388561,0.9605263157894737,115.77746054829424,1.2195895635682084
